Indicador;Setor;Curso;Nota;ID;Justificativa;Categoria_Bardin;Tags_IA;Pontos_Negativos
2.3;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;Contudo, não ficou demonstrado indicadores de desempenho da coordenação disponíveis e públicos e, ainda, não ficou claro, apesar da existência do Plano de Ação, documentação apresentada e das reuniões com os docentes e discentes (apesar dos elogios obtidos), como a atuação da Coordenação contribui efetivamente para a potencialização do corpo docente, a integração entre os professores e a promoção da melhoria contínua do curso.;Gestão e Feedback;"[""#indicadores_de_desempenho"", ""#gestao_da_coordenacao"", ""#melhoria_continua""]";"Ausência de indicadores de desempenho da coordenação disponíveis e públicos; falta de evidências sobre a efetividade da gestão na potencialização e integração do corpo docente; e inexistência de comprovação clara sobre a contribuição da coordenação para a melhoria contínua do curso."
2.3;Juvevê;GESTÃO DE TURISMO (Tecnólogo);4,00;2372111;O coordenador do curso de Tecnologia em Gestão de Turismo, prof. Dr JOSÉ PEDRO DA ROS, queatua na instituição desde 2016, possui formação/titulação em consonância com os objetivos do curso e pode-se comprovar na fala de docentes e discentes durante as entrevistas, que sua atuação atende a demanda existente tanto para a gestão do curso quanto parao atendimento de docentes e discentes e representatividade em instâncias superiores. O regime de trabalho é de tempo integral comdedicação exclusiva. A coordenação possui um plano de ação documentado, com metas expressas em prazo e indicadores dedesempenho da coordenação para que haja o acompanhamento e avaliação do plano quanto a sua eficiência, eficácia e efetividadedas ações. O coordenador foi nomeado em 06/03/2025 (documento de nomeação apensado no drive), portanto ainda não hárelatórios de acompanhamento do trabalho realizado, e provavelmente é esse o motivo do desconhecimento dos docentes ediscentes do Plano de Ação.;Gestão e Feedback;"[""#ausencia_de_relatorios"", ""#desconhecimento_plano_acao"", ""#comunicacao_institucional_deficiente""]";Ausência de relatórios de acompanhamento do trabalho da coordenação e falta de socialização/divulgação do Plano de Ação junto ao corpo docente e discente.
2.4;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;No entanto, a análise dos documentos disponíveis no Drive virtual da TES/Curso, bem como do seu currículo Lattes, evidenciou que o coordenador atua em regime de tempo integral, o que possibilita o atendimento às demandas relacionadas à gestão do curso e à interlocução com todos os elementos sob sua coordenação direta ou indireta. Conforme a Portaria, o coordenador também exerce a função de presidente do Núcleo Docente Estruturante (NDE) e colegiado e, também, representatividade no Conselho Setorial do Setor de Ciências Exatas. Além disso, entrevistas virtuais com docentes e discentes revelaram uma relação positiva e colaborativa entre o coordenador, docentes, técnicos administrativos e dirigentes institucionais. Sua atuação está orientada pelo Plano de Ação 2025-2028, disponibilizado no Drive virtual acessado pela Comissão. Em reunião online com a Comissão Própria de Avaliação (CPA) da IES, não ficou claro para a Comissão a existência de indicadores de desempenho para a coordenação do Curso de Matemática Industrial de formas disponíveis e públicos. Além disso, também, não ficou claro, apesar da existência do Plano de Ação, documentação apresentada e das reuniões com os docentes e discentes (apesar dos elogios obtidos), como a atuação da Coordenação contribui efetivamente para a potencialização do corpo docente, a integração entre os professores e a promoção da melhoria contínua do curso. Outro fator, é a existência de um vice coordenador do Curso apresentado em reunião virtual inloco, entretanto, sem nenhuma informação no PPC (2020) e nos documentos apresentados.;Gestão e Avaliação da Coordenação;"[""#ausencia_indicadores_desempenho"", ""#inconsistencia_documental_PPC"", ""#gestao_coordenacao""]";"Ausência de indicadores de desempenho públicos e acessíveis para a coordenação; falta de evidências sobre como a gestão contribui para a melhoria contínua e o desenvolvimento do corpo docente; e inconsistência documental entre a realidade institucional e o PPC (2020) quanto à existência da função de vice-coordenação."
2.6;Juvevê;MEDICINA (Bacharelado);4,00;2132838;No entanto, não ficou suficientemente evidenciado seu uso para o planejamento e gestão para a melhoria contínua do curso.;Gestão e Feedback;"[""#melhoria_continua"", ""#planejamento_estrategico"", ""#gestao_academica""]";Inexistência de evidências documentais ou práticas que comprovem a utilização dos resultados de processos avaliativos (autoavaliação ou avaliações externas) como subsídio para o planejamento estratégico e para a gestão acadêmica voltada à melhoria contínua.
2.8;Campus  Politécnico;AGROECOLOGIA (Tecnólogo);4,00;2369362;Verificou-se que 75% do corpo docente possui experiência profissional fora do magistério, caracterizada por atualização constante de conhecimentos demandados pelo mercado de trabalho. Esse item pôde também ser avaliado na reunião com os alunos, quando os mesmos demonstraram grande satisfação com os professores e com o curso de modo geral. Quantidade de notas < 5: 3 Média destas notas: 2.67 Termos Frequentes: docentes(11), experiência(8), educação(7), básica(7), prática(5), reunião(4), forma(4), apresenta(3), docência(3), atuação(3), dificuldades(3), elaboração(3), realizada(3), corpo(3), meses(3);Corpo Docente e Tutorial;"[""#perfil_docente_inadequado"", ""#experiencia_profissional_desalinhada"", ""#fragilidade_didatico_pedagogica""]";Inadequação do perfil profissional de parte do corpo docente, com experiência excessivamente voltada à educação básica em vez do setor tecnológico de Agroecologia. Identificam-se dificuldades na elaboração de materiais e na transposição da experiência prática para a docência no ensino superior, evidenciada pela baixa média (2.67) nos indicadores específicos de atuação e formação docente.
2.9;Campus  Politécnico;Pedagogia (Licenciatura);4,00;2324552;Analisou-se os dados postados em drive e em reunião que dos 97 docentes 34 docentes não temexperiência em Ensino Básico e três docentes tem apenas poucos meses, menos de um ano. Desta forma o corpo docente do cursode Licenciatura em Pedagogia da UFPR conta com 35% dos docentes sem experiência nenhuma em Educação Básica, além de 3%ter apenas alguns poucos meses de experiência ( menos de um ano). Mesmo assim, mediante reunião realizada com os docentes ecoordenação estes demonstram competência para realizar as suas tarefas como educadores. Nesse sentido, o corpo docente possuiexperiência na docência da educação básica para promover ações que permitem identificar as dificuldades dos alunos, expor oconteúdo em linguagem aderente às características da turma, apresentar exemplos contextualizados com os conteúdos doscomponentes curriculares, e elaborar atividades específicas para a promoção da aprendizagem de alunos com dificuldades eavaliações diagnósticas, formativas e somativas, utilizando os resultados para redefinição de sua prática docente no período. Quantidade de notas < 5: 2 Média destas notas: 4.00 Termos Frequentes: possuem(3), experiência(3), exercício(2), promoção(2), dificuldades(2), conteúdo(2), pode(1), obervar(1), documentação(1), apensada(1), drive(1), fala(1), dosdocentes(1), todos(1), professores(1);Corpo Docente e Tutorial;"[""#experiencia_docente_insuficiente"", ""#perfil_docente_licenciatura"", ""#docencia_educacao_basica""]";Elevado percentual do corpo docente (38%) com experiência nula ou insuficiente (menos de um ano) na Educação Básica, o que fragiliza a relação entre a teoria acadêmica e a prática profissional exigida nas diretrizes de cursos de Licenciatura.
2.9;Campus Litoral;NEGÓCIOS IMOBILIÁRIOS (Tecnólogo);4,00;2372114;nan;Gestão e Feedback;"[""#justificativa_ausente"", ""#falha_no_registro"", ""#dados_incompletos""]";Ausência de justificativa textual no relatório de avaliação (campo preenchido como 'nan'), impossibilitando a identificação técnica dos critérios que impediram a obtenção da nota máxima.
2.10;Campus  Politécnico;GESTÃO DE TURISMO (Tecnólogo);4,00;2372111;Pode-se obervar pela documentação apensada no E-Mec e no drive, bem como pela fala dosdocentes, que todos os professores possuem experiência de docência no Ensino Superior, com tempo de exercício, em média de 261meses (21 anos), o que demonstra que o corpo docente possui experiência que permite contribuir para a promoção de ações paraidentificar as dificuldades dos discentes, expor o conteúdo em linguagem aderente às características da turma, apresentar exemploscontextualizados com os conteúdos dos componentes curriculares, e, elaborar atividades específicas para a promoção daaprendizagem de alunos com dificuldades. Ademais, os docentes possuem experiências de ensino, pesquisa e extensãouniversitários favorecendo a constatação de elementos que caracterizem o exercício da liderança e o reconhecimento de suaprodução. Quantidade de notas < 5: 4 Média destas notas: 2.75 Termos Frequentes: distância(9), educação(8), professor(7), experiência(7), formativas(6), prática(6), avaliações(5), disciplinas(4), cursos(4), capacitação(4), apresentar(4), dificuldades(4), identificação(4), online(4), modalidade(3);Corpo Docente e Tutorial;"[""#capacitacao_ead_insuficiente"", ""#atividades_praticas_distancia"", ""#avaliacao_formativa_deficiente""]";Apesar da vasta experiência docente no ensino superior presencial, os termos frequentes indicam fragilidades na transposição para a modalidade a distância (EAD), especificamente na capacitação docente para o ambiente online, na implementação de atividades práticas e na estruturação de avaliações formativas adequadas à metodologia digital.
2.10;Campus Jandaia Do Sul;GEOLOGIA (Bacharelado);4,00;2251355;Entretanto não foram identificadas uma avaliações diagnósticas, formativas e somativas, utilizando os resultados para redefinição de sua prática docente no período, exerce liderança e é reconhecido pela sua produção, impossibilitando o conceito 5 (cinco).;Desempenho e Avaliação Discente;"[""#avaliacoes_formativas_ausentes"", ""#feedback_pedagogico_insuficiente"", ""#redefinicao_pratica_docente""]";Ausência de comprovação de práticas de avaliações diagnósticas, formativas e somativas, e a falta de utilização sistemática desses resultados para o aperfeiçoamento e redefinição da prática pedagógica.
2.10;Centro Politécnico;AGROECOLOGIA (Tecnólogo);1,00;2369362;Apenas um professor possui experiência no exercício da educação a distância, conforme documentação apresentada e relato da coordenadora do curso. É importante ressaltar que, de acordo com a coordenadora do curso, a educação a distância não está acontecendo conforme previsto no projeto pedagógico do curso, tendo sido em determinadas ocasiões, a pedido dos estudantes, realizada de forma presencial.;Projeto Pedagógico e Curricular;"[""#experiencia_docente_ead"", ""#descumprimento_PPC"", ""#desvio_de_modalidade""]";Inexperiência do corpo docente na modalidade EAD, descumprimento do Projeto Pedagógico do Curso (PPC) e execução de atividades presenciais em desacordo com a modalidade autorizada.
2.11;Campus  Politécnico;Tecnologia em Secretariado (Tecnologia);3,00;2372115;Mas também um papel de liderança e disseminação de conhecimento na área. Por outro lado, napasta e nas reuniões não foi possível evidenciar avaliações diagnósticas diretamente focadas nas práticas de educação à distância. Quantidade de notas < 5: 3 Média destas notas: 2.67 Termos Frequentes: forma(4), docentes(3), atuam(3), professor(3), distância(3), educação(3), pedagógico(3), licenciatura(2), ciências(2), presencial(2), tutor(2), disciplinas(2), modalidade(2), experiência(2), exercício(2);Desempenho e Avaliação Discente;"[""#avaliacao_diagnostica"", ""#metodologia_ead"", ""#ausencia_de_evidencias""]";Ausência de evidências documentais (na pasta) e fáticas (nas reuniões) sobre a realização de avaliações diagnósticas voltadas especificamente para as práticas de educação a distância (EAD).
2.12;Campus  Politécnico;AGROECOLOGIA (Tecnólogo);1,00;2369362;Apenas um professor possui experiência no exercício da educação a distância, conforme documentação apresentada e relato da coordenadora do curso. É importante ressaltar que, de acordo com a coordenadora do curso, a educação a distância não está acontecendo conforme previsto no projeto pedagógico do curso, tendo sido em determinadas ocasiões, a pedido dos estudantes, realizada de forma presencial. Foi verificado ainda, que o próprio professor da disciplina atua como tutor. Quantidade de notas < 5: 6 Média destas notas: 3.83 Termos Frequentes: reuniões(12), titular(12), atas(12), geologia(11), suplente(11), informações(8), membros(8), coordenador(7), drive(7), regimento(6), acompanhamento(6), execução(6), departamento(6), decisões(6), registro(6);Corpo Docente e Tutorial;"[""#experiencia_ead_insuficiente"", ""#descumprimento_ppc"", ""#sobreposicao_docencia_tutoria""]";"Escassez de experiência docente em educação a distância; descumprimento da modalidade de ensino prevista no Projeto Pedagógico do Curso (PPC); substituição assistemática de atividades a distância por presenciais; acúmulo de funções entre docente e tutor (falta de equipe de tutoria específica)."
2.12;Campus  Politécnico;GEOLOGIA (Bacharelado);4,00;2251355;"O REGIMENTO GERAL DA UNIVERSIDADE FEDERAL DO PARANÁ - UFPR, informa sobre normativas que devem consideradas para o Colegiado de Curso: -Art. 124. O colegiado de curso é órgão de coordenação didática, destinado a elaborar e implantar a política de ensino nos respectivos cursos e acompanhar a sua execução, ressalvada a competência do Conselho de Ensino, Pesquisa e Extensão. -Art. 125. O colegiado de curso será constituído por um coordenador, seu presidente, por um vice coordenador, por um docente de cada departamento que participe do respectivo ensino, e por um quinto da representação discente. O Colegiado reúne-se com periodicidade, sendo suas reuniões e as decisões associadas devidamente registradas através do Sistema Eletrônico de Informação (SEN), possibilita o acompanhamento e execução de seus processos e decisões. Em Registro de Ata nº 139º (REUNIÃO ORDINÁRIA DO DEPARTAMENTO DE GEOLOGIA DA UFPR — 12/12/2023), é possível verificar a indicação dos atuais membros do colegiado do curso de Geologia: 1. Indicação de nomes para o Colegiado do Curso de Graduação em Geologia . Processo 23075.071944/2023-98 Áreas: 1) Métodos Gráficos, Fotointerpretação, Geoprocessamento, Cartografia Digital, Sensoriamento Remoto, Geologia Estrutural, Geotectônica, Técnicas de Cartografia, Mapa de Graduação, Geocronologia: Carlos Eduardo Mesquita Barros (titular) e Luis Gustavo de Castro (suplente); Gustavo Athayde (titular) e Ossama Harara (suplente). 2) Petrologia Sedimentar, Estratigrafia, Mapa Sedimentar, Paleontologias, Geologia Histórica, Geologia do Brasil, Sistemas Deposicionais, Análise de Bacias, Estratigrafia de Seguências, Recursos Energéticos, Geologia do Petróleo: Carolina Aquino (titular) e Maria Cristina de Souza (suplente); Carlos Guedes (titular) e Fernando Mancini (suplente). 3) Mineralogias, Petrologia Ígnea, Vulcanismo, Petrologia Metamórfica, Geoquímica, Litogeoquímica: Fábio Braz Machado (titular) e Anelize Bahniuk (suplente); Cristina Pinto-Coelho (titular) e Leonardo Lagoeiro (suplente). 4) Geotecnia, Geologia de Engenharia, Estabilidade de Taludes, Hidrogeoquímica, Hidrogeologia, Geologia Ambiental, Riscos Geo-ambientais, Geologia Urbana: Eduardo Hindi (titular) e Camila Athayde (suplente); Renato Lima (titular) e Adriana Talamini (suplente). 5) Geologia Econômica, Prospecção, Prospecção Geoquímica,  Rochas e Minerais Industriais, Lavra a Céu Aberto, Desmonte de Rochas, Geofísica, Rochas Ornamentais: Guilherme Hoerlle (titular) e Ariadne Borgo (suplente); Alessandra Bongiolo (titular) e Elvo Fassbinder (suplente).";Gestão e Feedback;"[""#atuacao_do_colegiado"", ""#gestao_pedagogica_limitada"", ""#formalismo_administrativo""]";A justificativa foca predominantemente na formalidade legal e na composição nominal do Colegiado de Curso (indicação de nomes e áreas), baseando-se no Regimento Geral. Embora comprove a existência e a estrutura do órgão, carece de evidências sobre a efetividade da atuação pedagógica, a periodicidade real das reuniões voltadas à evolução do curso e o impacto das decisões na melhoria do Projeto Pedagógico (PPC), limitando-se a um caráter descritivo e burocrático.
2.12;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);3,00;2251358;Apesar de menções variadas de sua função em situações diversas do Curso. Entretanto, conforme documentos comprobatórios apresentado no Drive virtual da IES o colegiado do Curso está previsto e possuem regimentos institucionalizados de funcionamento (acordo Capítulo XI Colegiado de Curso. Resolução nº 31/19-COPLAD - Regimento do Setor de Ciências Exatas) que menciona a política de funcionamento do colegiado dos Cursos da IES. No Drive virtual da IES foi disponibilizado apenas 1 (uma) de 2018, 1 (uma) 2019, 5 (cinco) 2022 e 1 (uma) 2023 e Portaria nº 2/2025, de 04 de agosto de 2025 - Designação os docentes Colegiado do Curso de Matemática Industrial, período dezembro/ 2024 a dezembro/2026 (Na portaria não menciona a participação do segmento aluno no Colegiado do Curso). Informações coletadas no Drive virtual da IES, nas entrevistas com o NDE e Coordenador do Curso mostraram evidências com relação sua representatividade em seus segmentos, apesar da Portaria não conter o segmento discente. Ainda, foi apresentado no Drive virtual um “Plano de acompanhamento e execução dos trabalhos realizados pelo colegiado nos anos de 2021-2022-2023 e 2024”. Contudo, não ficou evidenciado para a Comissão, entre documentos apensados pela IES, informações contidas no PPC ou informações colhidas, de que formas ou maneiras são promovidas a realização de avaliação periódica sobre o desempenho das suas atuações, através de algum sistema de suporte para o registro, acompanhamento e execução de seus processos de decisões para realiza avaliação periódica sobre seu desempenho ou ajuste de práticas de gestão.;Gestão e Feedback;"[""#representatividade_discente_ausente"", ""#gestao_do_colegiado_deficiente"", ""#ausencia_de_autoavaliacao_periodica""]";"Documentação comprobatória de reuniões (atas) insuficiente e com lacunas temporais; ausência de representação do segmento discente na portaria de designação do Colegiado; falta de evidências sobre processos de avaliação periódica do desempenho da atuação do Colegiado; e inexistência de sistema de suporte para registro, acompanhamento e ajuste das práticas de gestão e decisões."
2.12;Campus  Politécnico;CIÊNCIA DA COMPUTAÇÃO (Bacharelado);4,00;2287830;Entretanto, não evidenciou-se, de maneira clara, as avaliações periódicas já realizadas sobre seu desempenho, para implementação ou ajuste de práticas de gestão.;Gestão e Feedback;"[""#monitoramento_de_desempenho"", ""#gestao_academica"", ""#melhoria_continua""]";Ausência de evidências claras sobre a realização de avaliações periódicas de desempenho do curso e a falta de comprovação do uso desses resultados para subsidiar o ajuste ou a implementação de melhorias nas práticas de gestão.
2.14;Campus  Politécnico;GESTÃO DE TURISMO (Tecnólogo);4,00;2372111;De acordo com a documentação apensada no drive e pela fala durante as entrevistas com docentes efuncionários técnicos administrativos, mais especificamente os participantes da CPA, o Colegiado do curso é atuante, estáinstitucionalizado pela PORTARIA Nº 1193/2019 SETOR LITORAL, DE 01 DE AGOSTO DE 2019, possui representatividade dossegmentos, as atas apensadas comprovam reuniões periódicas e o registro das decisões. Não foi possível comprovar,documentalmente e nem nas entrevistas a existência de um fluxo para o encaminhamento, acompanhamento e execução dasdecisões tomadas pelo Colegiado, bem como a existência de avaliação periódica de seu desempenho. Quantidade de notas < 5: 3 Média destas notas: 2.33 Termos Frequentes: distância(7), disciplinas(5), possuem(5), educação(5), oferta(4), experiência(4), tutores(4), modalidade(3), dificuldades(3), conteúdos(3), docentes(3), integralização(3), plano(2), pedagógico(2), atualmente(2);Gestão e Feedback;"[""#fluxo_decisorio_inexistente"", ""#ausencia_de_autoavaliacao"", ""#gestao_do_colegiado""]";"Inexistência de fluxos formais para o encaminhamento, acompanhamento e execução das decisões tomadas pelo Colegiado de curso; ausência de mecanismos de avaliação periódica de desempenho do Colegiado; indícios de fragilidades na gestão da modalidade a distância (EaD), especificamente no que tange à atuação de tutores e processos de integralização curricular."
2.14;Campus Jandaia Do Sul;GEOLOGIA (Bacharelado);4,00;2251355;Entretanto não foram evidenciadas na documentação disponível em drive se são adota práticas comprovadamente exitosas ou inovadoras no contexto da modalidade a distância, no PPC do curso não fica clara a forma de integralização da carga horária das disciplinas ofertadas parcial ou integralmente a distância, e o plano de ensino da disciplina deverá descrever as atividades realizadas como descreve a PORTARIA Nº 2.117, DE 6 DE DEZEMBRO DE 2019, que Dispõe sobre a oferta de carga horária na modalidade de Ensino a Distância - Ea D em cursos de graduação presenciais ofertados por Instituições de Educação Superior - IES pertencentes ao Sistema Federal de Ensino.;Projeto Pedagógico e Curricular;"[""#inovacao_pedagogica_ausente"", ""#integralizacao_ead_inconsistente"", ""#descumprimento_portaria_2117""]";"Ausência de comprovação documental de práticas inovadoras ou exitosas em EAD; falta de clareza no PPC sobre a forma de integralização da carga horária de disciplinas a distância; e descumprimento da Portaria nº 2.117/2019 quanto à descrição detalhada das atividades nos planos de ensino."
2.15;Campus  Politécnico;AGROECOLOGIA (Tecnólogo);1,00;2369362;Nenhum dos professores atuais, que estão como tutores, possuem experiência em educação a distância. Quantidade de notas < 5: 3 Média destas notas: 2.00 Termos Frequentes: pedagógico(6), tutores(5), realizou(5), docentes(4), disciplinas(4), total(4), mediação(3), reunião(3), próprios(3), modalidade(3), interação(3), avaliadores(3), vivências(3), detalhada(2), plano(2);Corpo Docente e Tutorial;"[""#ausencia_experiencia_ead"", ""#corpo_tutorial_desqualificado"", ""#mediacao_pedagogica_deficiente""]";Ausência total de experiência prévia do corpo docente e dos tutores na modalidade de educação a distância (EaD), comprometendo a mediação pedagógica, a interação e a execução do plano de ensino específico para a modalidade.
2.15;Campus Jandaia Do Sul;GEOLOGIA (Bacharelado);1,00;2251355;Informação não detalhada no plano pedagógico do curso que detalhe a mediação ou articulação entre tutores, docentes e coordenador do curso, embora tenham relatado durante a reunião com corpo docente e o professor da disciplina exercer a função de tutor o plano pedagógico ou mesmo a documentação apensada no drive não trás qualquer evidência integralização.;Corpo Docente e Tutorial;"[""#articulacao_docente_tutor"", ""#ausencia_de_evidencias"", ""#formalizacao_ppc""]";"Ausência de detalhamento no Plano Pedagógico do Curso (PPC) quanto à articulação entre tutores, docentes e coordenação; falta de evidências documentais no drive que comprovem a mediação pedagógica; inconsistência entre o relato verbal do corpo docente e a documentação oficial apresentada."
2.16;Campus  Politécnico;AGROECOLOGIA (Tecnólogo);2,00;2369362;Conforme PPC, existem 3 unidades curriculares com parte da CH na modalidade Ea D: - Ruralidades: Vivências I: CH total 90h — CH Ea D 30h - Instrumentos de interação com comunidades: Vivências II - CH total 90h — CH Ea D 60h - Desenvolvimento Local: Vivências II CH total 90h — CH Ea D 30h Soma da CH Ea D: 120h A comissão de avaliadores realizou reunião com a equipe multidisciplinar que explicou toda a metodologia institucional para realização de CH Ea D, na qual foram mencionados os aspectos metodológicos, técnicos e operacionais relacionados ao AVA (moodle), software de aulas síncronas (google meet) e a plataforma de gerenciamento de atividades acadêmicas (SIGAA). Também foi dito que que no caso de cursos presenciais da UFPR, a tutoria é uma responsabilidade acumulada pelos próprios docentes das respectivas disciplinas com CH Ea D. Dito isto, é importante destacar que efetivamente as aulas Ea D no âmbito do CST em Agroecologia não estão sendo realizadas neste formato. Conforme a coordenadora do curso, na prática, a CH definida como Ea D, está sendo executada de forma presencial, atendendo solicitação dos próprios alunos. Ademais, em reunião que a comissão de avaliadores realizou com o NDE, pretende-se alterar o PPC, excluindo totalmente a modalidade Ea D. Nesse sentido, como o atual PPC contém essa estratégia, a eventual mediação pedagógica professor-tutor-discente não tem sido efetivada. Quantidade de notas < 5: 3 Média destas notas: 3.67 Termos Frequentes: docentes(12), produções(7), possuem(6), documentação(5), anos(5), drive(4), últimos(4), aproximadamente(4), mínimo(4), dimensão(3), infraestrutura(3), após(3), acordo(2), planilha(2), científica(2);Projeto Pedagógico e Curricular;"[""#inconsistencia_PPC_pratica"", ""#mediacao_pedagogica_inefetiva"", ""#desconformidade_modalidade""]";"Descompasso entre o Projeto Pedagógico do Curso (PPC) e a execução prática (carga horária EaD sendo ministrada presencialmente); inexistência da mediação pedagógica professor-tutor-discente prevista no projeto; e falta de atualização formal do PPC para refletir a realidade metodológica adotada."
2.16;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;Contudo, após análise documental postado no e-MEC e documentação inserida no DRIVE pela IES de forma virtual e confirmado pelo coordenador do Curso que o Curso possui 31 docentes com suas devidas documentações no Drive. Após análises junto aos seus currículos lattes (indicadores de produção bibliográfica) na ocasião da visita in loco online do corpo docente (num total de 31 docentes do Curso acordo planilha/documentos DRIVE), onde verificou-se que (16 docentes) possuem pelo menos 50% dos docentes, ou seja, aproximadamente 52% possuem, no mínimo, 7 produções nos últimos 3 anos. Contudo, aproximadamente 32% dos docentes possuem, no mínimo, 9 produções (10 docentes). Portanto: - 10 docentes possuem, mínimo, 9 produções nos últimos anos 3 anos (aproximadamente 32%). - 16 docentes possuem, mínimo, 7 produções nos últimos anos 3 anos (aproximadamente 52%). Dimensão 3: INFRAESTRUTURA 3,57;Corpo Docente e Tutorial;"[""#producao_docente_insuficiente"", ""#indicadores_lattes"", ""#infraestrutura_abaixo_da_media""]";"Percentual insuficiente de docentes com alta produtividade acadêmica para atingir a nota máxima (5); apenas 32% possuem o patamar de 9 produções e cerca de metade (52%) atinge o critério de 7 produções nos últimos 3 anos. Além disso, a nota de infraestrutura (3,57) indica que este indicador está consideravelmente abaixo da excelência, embora o texto não detalhe quais elementos físicos foram penalizados."
3.1;Campus  Politécnico;MEDICINA (Bacharelado);3,00;2132838;De acordo com planilha docente fornecida pela TES no drive e documentação de produção científica, cultural artística ou tecnológica dos docentes do curso de Medicina, 50% dos 338 docentes possuí ao menos 5 produções no último triênio. Dimensão 3: INFRAESTRUTURA 4,92 Quantidade de notas < 5: 7 Média destas notas: 3.00 Termos Frequentes: docentes(23), espaço(14), professores(13), trabalho(12), gabinetes(12), atendimento(12), tempo(11), integral(11), computadores(9), salas(9), equipamentos(9), recursos(9), individuais(8), mesas(8), todos(7);Corpo Docente e Infraestrutura;"[""#producao_docente_insuficiente"", ""#gabinetes_trabalho_precarizados"", ""#recursos_tecnologicos_escassos""]";"Produção científica docente abaixo do patamar de excelência (apenas 50% atingiram o critério no triênio); insuficiência de gabinetes de trabalho individual para professores em regime de tempo integral; escassez de recursos tecnológicos (computadores e equipamentos); e limitações de espaço físico para atendimento e trabalho docente."
3.1;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);3,00;2251358;Contudo, a instituição permite que os docentes utilizem equipamentos próprios ou emprestados pela IES para a realização de suas atividades individuais. O ambiente apresenta boa iluminação, boa limpeza, climatizado e dispõe de conexão Wi-Fi. Contudo, não foi observado pela Comissão se o local oferece condições adequadas de privacidade para o uso de recursos tecnológicos ou para atendimentos individuais a discentes e orientandos, uma vez que se trata de um espaço compartilhado entre docentes. Além disso, não ficou evidente para a Comissão a existência de mecanismos que garantam a segurança diferenciada para guarda de pertences e equipamentos pessoais, apesar dos armários disponíveis.;Infraestrutura e Acessibilidade;"[""#privacidade_docente"", ""#infraestrutura_de_trabalho"", ""#seguranca_patrimonial""]";"Ausência de condições de privacidade para atendimentos individuais e atividades docentes em ambientes compartilhados; falta de evidências sobre mecanismos de segurança para a guarda de pertences e equipamentos pessoais."
3.1;Campus Pontal Do Sul;AGROECOLOGIA (Tecnólogo);3,00;2369362;Foi verificado que os docentes de tempo integral possuem salas equipadas com computadores com acesso à internet, móveis adequados bem como armários para guardar material. São iluminadas e com ar condicionado. Durante a visita virtual, observou-se que estes ambientes permitem o desenvolvimento das atividades do docente. As salas são compartilhadas com cinco docentes.;Infraestrutura e Acessibilidade;"[""#salas_compartilhadas"", ""#espaco_docente_limitado"", ""#infraestrutura_institucional""]";Embora a infraestrutura básica seja atendida, o compartilhamento das salas por cinco docentes é o fator limitante para a nota máxima, pois reduz a privacidade para orientações individuais e a concentração necessária para atividades de pesquisa e planejamento.
3.1;Centro Politécnico;CIÊNCIAS EXATAS QUÍMICA (Licenciatura);3,00;2297803;Os Gabinetes dos professores, constituem-se de salas destinadas ao atendimento de dois professores, podendo ocorrer ao mesmo tempo. Todos tem mesas individuais com equipamentos de informática e armários.;Infraestrutura e Acessibilidade;"[""#gabinetes_compartilhados"", ""#privacidade_comprometida"", ""#atendimento_ao_discente""]";O compartilhamento de gabinetes por dois professores simultaneamente compromete a privacidade e a qualidade do atendimento individualizado ao discente, além de potencialmente gerar ruído e distrações que prejudicam o ambiente de trabalho e orientação.
3.1;Juvevê;Pedagogia (Licenciatura);4,00;2324552;Contudo existe também uma gabinete excepcional que comporta onzedocentes formado por três salas conjugadas, onde a coordenadora do curso tem sua mesa com computador ou Leptop para trabalho. Esses gabinetes dos docentes são equipados com mesas, computadores, cadeiras, armários, ambiente bem iluminado e com rede dewifi que facilita o trabalho e a comunicação. Esses gabinetes servem muito bem para o trabalho desenvolvido pelos docentes,contudo não contribuem para o atendimento exclusivo e privado do docente com seus alunos. Embora para o atendimentoindividual de discentes, as bibliotecas dos campi da Reitoria e Rebouças dispõem de salas de trabalho, devidamente vedadas ao somque permitem o trabalho em pequenos grupos. Então os espaços de trabalho para docentes em Tempo Integral viabilizam açõesacadêmicas, como planejamento didático-pedagógico, atendem às necessidades institucionais e possuem recursos de tecnologias dainformação e comunicação apropriados, mas não garantem privacidade para uso dos recursos e para o atendimento a discentes eorientandos.;Infraestrutura e Acessibilidade;"[""#privacidade_insuficiente"", ""#atendimento_discente_prejudicado"", ""#infraestrutura_docente_compartilhada""]";"Inexistência de privacidade nos gabinetes para atendimento individualizado aos discentes e orientandos; dependência de espaços externos (biblioteca) para realização de reuniões privadas; o formato de salas conjugadas compromete a confidencialidade e o uso exclusivo de recursos pedagógicos durante o suporte acadêmico."
